Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
861ad30ac257d7c9c15e9635a562070ba298b80bec54c6ab5243d3c1dd24a2b8,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
f654daee36871859c53f48f0e2243f145d72bc44ff7a159a9bac2594341c7c12,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
82a2fcc29865971ba7d665a22fdc91554681713798854c93a12c4a59bab691d2,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete
54c62b364a2b566a2d5b0a7eafdbd562f8bfc85b8be3054bb94387d4156df428,2020-12,West Yorkshire Police,West Yorkshire Police,-1.727358,53.763028,On or near CEDAR CLOSE,E01010815,Bradford 057B,Unable to prosecute suspect
0033974011a0120b82f3599efa11e5da32942a3759a1ff1ff617be907c004b38,2020-12,West Yorkshire Police,West Yorkshire Police,-1.560364,53.797441,On or near A58,E01033008,Leeds 111A,Investigation complete
df1f9cfe3b6d242a2515d4eca427b590a2fdee5679af086262b5b9a071503d31,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete
6ba9ddfd059328535df3218c1de9af4da53fa41e8401cd2b88519d34c2027ef2,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
0f8272d780acfd12d5807b9ff832a9885c3aa2d867f6e2b3825d6af7a94c1d2b,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete
ebd7127c71576a281a702c9d834ca79286627fceb3523e43afa8275ed0937bd3,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete
05e03b7b4e40e2dc39d70834acb1d9d14ed6928faf3a120329e95e5ee444d419,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
f2f7793f51f0788f66b8b957fb67fd0d440a2b9c533b8f4dc610d833952716c5,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
2a430fdc038218923bbe53b9a064cb7c596ee89204e1aac549fe8cc4a5f8b1ee,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete
da704bbb16a879767dcd616e6fe40beef41f2eb6040be92a84e91a2a80f89441,2020-12,West Yorkshire Police,West Yorkshire Police,-1.658214,53.699700,On or near MOORSIDE ROAD,E01011025,Kirklees 016A,Unable to prosecute suspect
3b3f60695f25759c787d038d3da667bf6ba0d53a62746598e7ac50f191ecf6c3,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete
bc0803c5d3eef0ff32fc170758db925814cd681c0604dc08dd008b404d8b3a22,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete
2c6d42f0005a84232590b446a548317302438847110f2298157e998a59b49181,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete
5985bc4d0c22d82244a90d60af6b1da8ba9d5821ca173ecb9230db5c1ecb97bc,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Suspect charged
0d4bcb8b5d7bc0277bbfd21e925b96fee11871aef9bc30e7cbe650ada16d7190,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
